filename,method,clipiqa_plus
252.png,clahe,0.48032820224761963
252.png,gamma,0.5220568180084229
252.png,log,0.5337508916854858
252.png,retinex,0.41754236817359924
252.png,hist_eq,0.334369957447052
253.png,clahe,0.5797891616821289
253.png,gamma,0.613241970539093
253.png,log,0.7261963486671448
253.png,retinex,0.5390225648880005
253.png,hist_eq,0.6724420189857483
254.png,clahe,0.5929829478263855
254.png,gamma,0.6721762418746948
254.png,log,0.692411482334137
254.png,retinex,0.6785747408866882
254.png,hist_eq,0.6551552414894104
257.png,clahe,0.4332343339920044
257.png,gamma,0.5181671380996704
257.png,log,0.5381935238838196
257.png,retinex,0.44052615761756897
257.png,hist_eq,0.6062195897102356
258.png,clahe,0.49771931767463684
258.png,gamma,0.5543556809425354
258.png,log,0.5858237147331238
258.png,retinex,0.44849586486816406
258.png,hist_eq,0.6438350677490234
259.png,clahe,0.5773122310638428
259.png,gamma,0.626718282699585
259.png,log,0.6316830515861511
259.png,retinex,0.5259785056114197
259.png,hist_eq,0.6935047507286072
26.png,clahe,0.5672159194946289
26.png,gamma,0.6210394501686096
26.png,log,0.5909212231636047
26.png,retinex,0.5551702976226807
26.png,hist_eq,0.6287338137626648
260.png,clahe,0.4284062087535858
260.png,gamma,0.5307438969612122
260.png,log,0.5553389191627502
260.png,retinex,0.34980079531669617
260.png,hist_eq,0.5441119074821472
261.png,clahe,0.35342687368392944
261.png,gamma,0.4071962237358093
261.png,log,0.3593643605709076
261.png,retinex,0.2868500351905823
261.png,hist_eq,0.258433073759079
262.png,clahe,0.6107885837554932
262.png,gamma,0.6285056471824646
262.png,log,0.6373031139373779
262.png,retinex,0.5423224568367004
262.png,hist_eq,0.7148005366325378
263.png,clahe,0.5515944957733154
263.png,gamma,0.5648773312568665
263.png,log,0.5981054306030273
263.png,retinex,0.5675520896911621
263.png,hist_eq,0.6241190433502197
264.png,clahe,0.4265305697917938
264.png,gamma,0.4523676931858063
264.png,log,0.4976337254047394
264.png,retinex,0.4790459871292114
264.png,hist_eq,0.471697598695755
265.png,clahe,0.4665781259536743
265.png,gamma,0.5315717458724976
265.png,log,0.5458465218544006
265.png,retinex,0.591981053352356
265.png,hist_eq,0.6422654986381531
267.png,clahe,0.46340513229370117
267.png,gamma,0.5427364110946655
267.png,log,0.5403134822845459
267.png,retinex,0.6006420850753784
267.png,hist_eq,0.5857716798782349
27.png,clahe,0.2761572003364563
27.png,gamma,0.3701462149620056
27.png,log,0.31951189041137695
27.png,retinex,0.29008764028549194
27.png,hist_eq,0.27087557315826416
28.png,clahe,0.2829788327217102
28.png,gamma,0.3751673102378845
28.png,log,0.33778437972068787
28.png,retinex,0.2887625992298126
28.png,hist_eq,0.2669152319431305
328.png,clahe,0.5781430602073669
328.png,gamma,0.5142883658409119
328.png,log,0.5028347373008728
328.png,retinex,0.2970721125602722
328.png,hist_eq,0.49464651942253113
33.png,clahe,0.4212139844894409
33.png,gamma,0.44721531867980957
33.png,log,0.42483627796173096
33.png,retinex,0.3152548670768738
33.png,hist_eq,0.4789038896560669
